Brand Name,Series,Item model number,Operating System,Item Weight,Product Dimensions,Item Dimensions  L x W x H,Color,Processor Brand,Processor Count,Computer Memory Type,Hard Drive Rotational Speed,Optical Drive Type,Power Source,Batteries,Screen Size,Max Screen Resolution,Graphics Coprocessor,Chipset Brand,Card Description,Wireless Type,Number of USB 2.0 Ports,Number of USB 3.0 Ports,laptop_link,Hardware Platform,Flash Memory Size,Screen Resolution,Graphics Card Ram Size,Memory Speed,Average Battery Life (in hours),Package Dimensions,Rear Webcam Resolution,Voltage,Manufacturer,ASIN,Date First Available,National Stock Number
Lenovo,"IdeaPad 3 14""",81W0003QUS,Windows 10,3.3 pounds,12.88 x 9.49 x 0.78 inches,12.88 x 9.49 x 0.78 inches,Abyss Blye,AMD,1,DDR4 SDRAM,7200 RPM,None,Battery Powered,1 Lithium Polymer batteries required. (included),14 inches,1920 x 1080 pixels,AMD Integrated Graphics,AMD,Integrated,802.11ac,1,2,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A04052102LURNB4D4RAI6&url=%2FLenovo-IdeaPad-Processor-Graphics-81W0003QUS%2Fdp%2FB0862269YP%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921602%26sr%3D8-43-spons%26psc%3D1&qualifier=1592921602&id=3110825685686809&widgetName=sp_mtf,,,,,,,,,,,,,
CHUWI,LapBook Pro,CHUWI LapBook Pro,Windows 10,3.15 pounds,9.7 x 6.27 x 0.4 inches,9.7 x 6.27 x 0.4 inches,Space Gray,Intel,1,DDR4 SDRAM,,,Battery,,14.1 inches,1920x1080 pixels,Intel® UHD Graphics 600,Intel,,802.11ac,,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_2?ie=UTF8&adId=A10395031EC6MKO84K0HI&url=%2FCHUWI-LapBook-Pro-Ultra-Slim-Gemini-Lake%2Fdp%2FB086PYGZ2X%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1592921602%26sr%3D8-44-spons%26psc%3D1&qualifier=1592921602&id=3110825685686809&widgetName=sp_mtf,PC,,1920x1080,,,8 hours,,,,,,,
ASUS,ASUS,ASUS,Windows 10 Home,3.8 pounds,14.4 x 9.1 x 0.8 inches,14.4 x 9.1 x 0.8 inches,,AMD,2,DDR4 SDRAM,,No Optical Drive,Battery Powered,1 Lithium ion batteries required.,15.6 inches,1920 x 1080,AMD Radeon Vega 3,AMD,Integrated,802.11ac,1,1,https://www.amazon.com/ASUS-VivoBook-Backlit-Keyboard-Bluetooth/dp/B07Y5PDX7D/ref=sr_1_45?dchild=1&keywords=laptops&qid=1592921602&sr=8-45,PC,256,1920 x 1080,,3.5 GHz,,,,,,,,
Acer,A515-54-37U3,A515-54-37U3,Windows 10 S,5.69 pounds,14.31 x 9.86 x 0.71 inches,14.31 x 9.86 x 0.71 inches,Silver,Intel,2,DDR4 SDRAM,0.01 RPM,No Optical Drive,Battery Powered,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080,Intel UHD Graphics 620,Intel,Integrated,802.11ax,1,3,https://www.amazon.com/Acer-Display-i3-10110U-802-11ax-A515-54-37U3/dp/B07XPLHL3K/ref=sr_1_46?dchild=1&keywords=laptops&qid=1592921602&sr=8-46,,128,,2 MB,,5 hours,,,,,,,
Lenovo,ThinkPad E595,20NF0012US,Windows 10 Pro,3 pounds,14.5 x 9.9 x 0.8 inches,14.5 x 9.9 x 0.8 inches,Black,AMD,1,Unknown,0.01 RPM,None,AC & Battery,1 A batteries required. (included),15.6 inches,1920x1080 pixels,Radeon Vega 8 Graphics,AMD,Integrated,Bluetooth,1,3,https://www.amazon.com/Lenovo-ThinkPad-2-1GHz-Optical-Radeon/dp/B07R72N8JH/ref=sr_1_47?dchild=1&keywords=laptops&qid=1592921602&sr=8-47,Unknown,256,1920 x 1080,1 GB,1 GHz,,,,120 volts,,,,
HP,14-DK000,,Windows 10,3.24 pounds,12.76 x 8.9 x 0.78 inches,12.76 x 8.9 x 0.78 inches,Sliver,AMD,2,DDR4 SDRAM,,,,1 Lithium Metal batteries required. (included),14 inches,1366 x 768 pixels,AMD Radeon R5 Graphic,Amd,,Bluetooth,,,https://www.amazon.com/HP-A9-9425-Graphic-Bluetooth-Windows/dp/B0876GC6K3/ref=sr_1_48?dchild=1&keywords=laptops&qid=1592921602&sr=8-48,PC,,,,3.1 GHz,,,,,,,,
Acer,SF314-42-R9YN,SF314-42-R9YN,Windows 10 Home,2.65 pounds,12.73 x 8.62 x 0.63 inches,12.73 x 8.62 x 0.63 inches,,AMD,8,,,No Optical Drive,,1 Lithium ion batteries required. (included),14 inches,,,AMD,Integrated,802.11ax,1,1,https://www.amazon.com/Acer-Octa-Core-Processor-Fingerprint-SF314-42-R9YN/dp/B086KKKT15/ref=sr_1_49?dchild=1&keywords=laptops&qid=1592921602&sr=8-49,,512,,,,,,,,,,,
MSI,GL65 Leopard 10SFK-062,GL6510SFK062,Windows 10 Home,9.28 pounds,14.08 x 9.76 x 1.08 inches,14.08 x 9.76 x 1.08 inches,,Intel,6,DDR4 SDRAM,,No Optical Drive,,,15.6 inches,1920 x 1080 pixels,NVIDIA GeForce RTX 2070,NVIDIA,Dedicated,802.11ax,,3,https://www.amazon.com/MSI-Leopard-10SFK-062-i7-10750H-RTX2070/dp/B085B3GFRL/ref=sr_1_50?dchild=1&keywords=laptops&qid=1592921602&sr=8-50,PC,512,,8 GB,2666 MHz,,,,,,,,
Lenovo,Lenovo,ThinkPad T420,Windows 7 Professional,7.25 pounds,13.5 x 1.2 x 8.8 inches,13.5 x 1.2 x 8.8 inches,,Intel,1,DDR3 SDRAM,,,,1 Lithium ion batteries required. (included),14 inches,,Intel HD Graphics 4000,Intel,Integrated,802.11bgn,4,,https://www.amazon.com/Lenovo-Thinkpad-T420-Windows-Professional/dp/B00W4AMWCI/ref=sr_1_51?dchild=1&keywords=laptops&qid=1592921602&sr=8-51,PC,320 GB,,,3.2 GHz,,,,,,,,
ASUS,TUF Gaming A15,TUF506IU-ES74,Windows 10 Home,5.07 pounds,14.5 x 10.1 x 0.98 inches,14.5 x 10.1 x 0.98 inches,,AMD,8,DDR4 SDRAM,,No Optical Drive,,1 Lithium ion batteries required. (included),15.6 inches,1920 x 1080 pixels,NVIDIA GeForce GTX 1660Ti,NVIDIA,Dedicated,802.11ac,1,3,https://www.amazon.com/ASUS-IPS-Type-GeForce-Battery-TUF506IU-ES74/dp/B0865RZR9S/ref=sr_1_52?dchild=1&keywords=laptops&qid=1592921602&sr=8-52,PC,512,1920 x 1080 pixels,6 GB,3200 MHz,,,,,,,,
